"date","pi","Mercancías","Servicios","Vivienda","Agropecuarios","Energéticos y tarifas autorizadas por el gobierno"
2003-03-01,0.63,0.236462889474,0.247008801501,0.113746435236,0.067143404286,0.079384904676
2003-02-01,0.28,0.105094617544,0.109781689556,0.050553971216,0.029841513016,0.035282179856
2003-01-01,0.4,0.15013516792,0.15683098508,0.07221995888,0.04263073288,0.05040311408
2002-12-01,0.44,0.165148684712,0.172514083588,0.079441954768,0.046893806168,0.055443425488
2002-11-01,0.81,0.304023715038,0.317582744787,0.146245416732,0.086327234082,0.102066306012
2002-10-01,0.44,0.165148684712,0.172514083588,0.079441954768,0.046893806168,0.055443425488
2002-09-01,0.6,0.22520275188,0.23524647762,0.10832993832,0.06394609932,0.07560467112
2002-08-01,0.38,0.142628409524,0.148989435826,0.068608960936,0.040499196236,0.047882958376
2002-07-01,0.29,0.108847996742,0.113702464183,0.052359470188,0.030907281338,0.036542257708
2002-06-01,0.49,0.183915580702,0.192117956723,0.088469449628,0.052222647778,0.061743814748
2002-05-01,0.2,0.07506758396,0.07841549254,0.03610997944,0.02131536644,0.02520155704
2002-04-01,0.55,0.20643585589,0.215642604485,0.09930244346,0.05861725771,0.06930428186
2002-03-01,0.51,0.191422339098,0.199959505977,0.092080447572,0.054354184422,0.064263970452
2002-02-01,-0.06,-0.022520275188,-0.023524647762,-0.010832993832,-0.006394609932,-0.007560467112
2002-01-01,0.92,0.345310886216,0.360711265684,0.166105905424,0.098050685624,0.115927162384
2001-12-01,0.14,0.052547308772,0.054890844778,0.025276985608,0.014920756508,0.017641089928
2001-11-01,0.38,0.142628409524,0.148989435826,0.068608960936,0.040499196236,0.047882958376
2001-10-01,0.45,0.16890206391,0.176434858215,0.08124745374,0.04795957449,0.05670350334
2001-09-01,0.93,0.349064265414,0.364632040311,0.167911404396,0.099116453946,0.117187240236
2001-08-01,0.59,0.221449372682,0.231325702993,0.106524439348,0.062880330998,0.074344593268
2001-07-01,-0.26,-0.097587859148,-0.101940140302,-0.046942973272,-0.027709976372,-0.032762024152
2001-06-01,0.24,0.090081100752,0.094098591048,0.043331975328,0.025578439728,0.030241868448
2001-05-01,0.23,0.086327721554,0.090177816421,0.041526476356,0.024512671406,0.028981790596
2001-04-01,0.5,0.1876689599,0.19603873135,0.0902749486,0.0532884161,0.0630038926
2001-03-01,0.63,0.236462889474,0.247008801501,0.113746435236,0.067143404286,0.079384904676
2001-02-01,-0.07,-0.026273654386,-0.027445422389,-0.012638492804,-0.007460378254,-0.008820544964
2001-01-01,0.55,0.20643585589,0.215642604485,0.09930244346,0.05861725771,0.06930428186
2000-12-01,1.08,0.405364953384,0.423443659716,0.194993888976,0.115102978776,0.136088408016
2000-11-01,0.86,0.322790611028,0.337186617922,0.155272911592,0.091656075692,0.108366695272
2000-10-01,0.69,0.258983164662,0.270533449263,0.124579429068,0.073538014218,0.086945371788
2000-09-01,0.73,0.273996681454,0.286216547771,0.131801424956,0.077801087506,0.091985683196
2000-08-01,0.55,0.20643585589,0.215642604485,0.09930244346,0.05861725771,0.06930428186
2000-07-01,0.39,0.146381788722,0.152910210453,0.070414459908,0.041564964558,0.049143036228
2000-06-01,0.59,0.221449372682,0.231325702993,0.106524439348,0.062880330998,0.074344593268
2000-05-01,0.37,0.138875030326,0.145068661199,0.066803461964,0.039433427914,0.046622880524
2000-04-01,0.57,0.213942614286,0.223484153739,0.102913441404,0.060748794354,0.071824437564
2000-03-01,0.55,0.20643585589,0.215642604485,0.09930244346,0.05861725771,0.06930428186
2000-02-01,0.89,0.334050748622,0.348948941803,0.160689408508,0.094853380658,0.112146928828
2000-01-01,1.34,0.502952812532,0.525383800018,0.241936862248,0.142812955148,0.168850432168
1999-12-01,1,0.3753379198,0.3920774627,0.1805498972,0.1065768322,0.1260077852
1999-11-01,0.89,0.334050748622,0.348948941803,0.160689408508,0.094853380658,0.112146928828
1999-10-01,0.63,0.236462889474,0.247008801501,0.113746435236,0.067143404286,0.079384904676
1999-09-01,0.97,0.364077782206,0.380315138819,0.175133400284,0.103379527234,0.122227551644
1999-08-01,0.56,0.210189235088,0.219563379112,0.101107942432,0.059683026032,0.070564359712
1999-07-01,0.66,0.247723027068,0.258771125382,0.119162932152,0.070340709252,0.083165138232
1999-06-01,0.66,0.247723027068,0.258771125382,0.119162932152,0.070340709252,0.083165138232
1999-05-01,0.6,0.22520275188,0.23524647762,0.10832993832,0.06394609932,0.07560467112
1999-04-01,0.92,0.345310886216,0.360711265684,0.166105905424,0.098050685624,0.115927162384
1999-03-01,0.93,0.349064265414,0.364632040311,0.167911404396,0.099116453946,0.117187240236
1999-02-01,1.34,0.502952812532,0.525383800018,0.241936862248,0.142812955148,0.168850432168
1999-01-01,2.53,0.949604937094,0.991955980631,0.456791239916,0.269639385466,0.318799696556
1998-12-01,2.44,0.915824524312,0.956669008988,0.440541749168,0.260047470568,0.307458995888
1998-11-01,1.77,0.664348118046,0.693977108979,0.319573318044,0.188640992994,0.223033779804
1998-10-01,1.43,0.536733225314,0.560670771661,0.258186352996,0.152404870046,0.180191132836
1998-09-01,1.62,0.608047430076,0.635165489574,0.292490833464,0.172654468164,0.204132612024
1998-08-01,0.96,0.360324403008,0.376394364192,0.173327901312,0.102313758912,0.120967473792
1998-07-01,0.96,0.360324403008,0.376394364192,0.173327901312,0.102313758912,0.120967473792
1998-06-01,1.18,0.442898745364,0.462651405986,0.213048878696,0.125760661996,0.148689186536
1998-05-01,0.8,0.30027033584,0.31366197016,0.14443991776,0.08526146576,0.10080622816
1998-04-01,0.94,0.352817644612,0.368552814938,0.169716903368,0.100182222268,0.118447318088
1998-03-01,1.17,0.439145366166,0.458730631359,0.211243379724,0.124694893674,0.147429108684
1998-02-01,1.75,0.65684135965,0.686135559725,0.3159623201,0.18650945635,0.2205136241
1998-01-01,2.18,0.818236665164,0.854728868686,0.393598775896,0.232337494196,0.274696971736
1997-12-01,1.4,0.52547308772,0.54890844778,0.25276985608,0.14920756508,0.17641089928
1997-11-01,1.12,0.420378470176,0.439126758224,0.202215884864,0.119366052064,0.141128719424
1997-10-01,0.8,0.30027033584,0.31366197016,0.14443991776,0.08526146576,0.10080622816
1997-09-01,1.25,0.46917239975,0.490096828375,0.2256873715,0.13322104025,0.1575097315
1997-08-01,0.89,0.334050748622,0.348948941803,0.160689408508,0.094853380658,0.112146928828
1997-07-01,0.87,0.326543990226,0.341107392549,0.157078410564,0.092721844014,0.109626773124
1997-06-01,0.89,0.334050748622,0.348948941803,0.160689408508,0.094853380658,0.112146928828
1997-05-01,0.91,0.341557507018,0.356790491057,0.164300406452,0.096984917302,0.114667084532
1997-04-01,1.08,0.405364953384,0.423443659716,0.194993888976,0.115102978776,0.136088408016
1997-03-01,1.24,0.465419020552,0.486176053748,0.223881872528,0.132155271928,0.156249653648
1997-02-01,1.68,0.630567705264,0.658690137336,0.303323827296,0.179049078096,0.211693079136
1997-01-01,2.57,0.964618453886,1.007639079139,0.464013235804,0.273902458754,0.323840007964
