fecha,M1 (datos),M2 (datos),Log_M1,Log_M2,45_degree_line
2010-01-01,1547730010.14,4081855490.04,21.160055184848133,22.129817498953365,21.13138748787133
2010-02-01,1517869613.5,4094608048.47,21.14057361862077,22.13293683501116,21.140615626280923
2010-03-01,1524673468.98,4032744721.84,21.145046105377464,22.11771305349731,21.14984376469052
2010-04-01,1503990111.83,4019684814.78,21.13138748787133,22.114469332219983,21.159071903100113
2010-05-01,1526831442.17,4093547244.14,21.146460472132606,22.13267772797227,21.16830004150971
2010-06-01,1557126004.7,4132719561.04,21.166107654397905,22.142201516566296,21.177528179919303
2010-07-01,1562707323.63,4152034064.13,21.169685617895873,22.146864187046575,21.1867563183289
2010-08-01,1561715860.71,4231955534.09,21.1690509644608,22.16593002437963,21.195984456738493
2010-09-01,1575903553.54,4193951327.16,21.1780946295171,22.156909164008297,21.20521259514809
2010-10-01,1581896026.8,4294427496.0,21.181889981502465,22.180584088038163,21.214440733557684
2010-11-01,1627355714.16,4297482580.87,21.21022227322291,22.18129524189602,21.22366887196728
2010-12-01,1831591444.5,4442009701.88,21.328451067683673,22.21437274654053,21.232897010376874
2011-01-01,1728772137.61,4431859293.31,21.27067724642018,22.21208503798805,21.24212514878647
2011-02-01,1723622268.89,4441379303.5,21.26769388360973,22.214230819089043,21.251353287196064
2011-03-01,1734597226.24,4444644901.49,21.274041077135752,22.214965815542275,21.260581425605658
2011-04-01,1742346199.77,4476820113.73,21.27849843258293,22.22217883530642,21.269809564015254
2011-05-01,1725414014.59,4470236062.3,21.268732867090282,22.220707054535414,21.279037702424848
2011-06-01,1786661865.37,4527262924.48,21.30361483606449,22.2333833829008,21.288265840834445
2011-07-01,1773596721.24,4565834754.97,21.29627536761785,22.241867194072803,21.297493979244038
2011-08-01,1770802580.29,4608944108.85,21.29469871595357,22.251264624087064,21.306722117653635
2011-09-01,1878140343.69,4631368842.8,21.353547945339667,22.25611830774286,21.31595025606323
2011-10-01,1860381606.26,4722292965.65,21.344047468284046,22.275560316389527,21.325178394472825
2011-11-01,1896333581.99,4786314213.94,21.36318816517178,22.28902647700216,21.33440653288242
2011-12-01,2081526297.8,4960125962.8,21.45636725858147,22.32469697308659,21.343634671292016
