,2024-04-01
Agricultura,0.4441165214299936
Pesca,-3.5900853099567698
Minería,-5.186266918331173
Electricidad,-3.2799510790868847
Construcción,4.099080858907622
Manufactura,9.459332691575773
Comercio al por mayor,3.232194572895941
Comercio al por menor,2.5607270980386287
Finanzas,1.9497575260364108
Inmobiliario,0.861625252681697
Educación,1.983391070587781
Salud,4.8613835829795615
Recreación,-2.0773656414927233
Hospitalidad,-12.497496550252652
Gobierno,2.844003789261995
