Agricultura,Pesa,Minería,Electricidad,Construcción,Manufactura,Comercio al por mayor,Comercio al por menor,Finanzas,Inmobiliario,Educación,Salud,Recreación,Hospitalidad,Gobierno
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2.350396853928549,-8.830354686346864,2.892138302753855,-21.074831316902266,-6.385300141893834,-0.743842904981129,-0.1731709377696511,0.2874710734979802,7.760997201190922,1.837428290767762,1.9718852508662232,3.6934033071425842,-3.381878762782542,-3.0062557792198352,-2.7533423832588055
0.07054788632330222,-8.70350732071039,-1.3428105945747282,-17.905484015267483,-5.965736558138257,-3.3428964833183694,-2.888220613560555,-2.1605759354442866,5.653196572845509,0.9219410705902709,-0.1114189880363825,2.82176179283824,-0.20552196666525635,-7.122786842459872,-5.543069179332106
0.21207544899537467,-3.4661935237641606,2.014268199481184,-21.775606136459047,-5.365714310047376,-6.006141861342773,-1.612504655317537,-0.9461833489735727,-0.6425699315152023,1.3355975633215778,-0.08785510037263577,0.4971990963501316,0.7437696542520689,-1.441275929281871,-2.4698209720787734
-2.7847671072844804,-0.16108873195073148,-3.1284108475043926,-15.554952754085216,-3.3892560583330122,-5.6296096453194995,-2.680352968736577,-0.04183821071196414,-4.8591767690906895,2.2903605189459775,-0.2564708405707883,0.2598720521571174,6.2843191226036765,5.894964491832977,0.179457732942212
-2.490702777363618,5.417658582039286,-4.044943812094859,12.851768197753955,2.0671381298205116,-9.107701706369465,-0.5876528565747163,-0.9592483436240307,-4.844440464008759,1.6415667815955493,-0.3190531694906906,-3.1944553694598032,-3.2660350430002483,-2.19972491335072,0.7531988620051555
-26.127201037044877,-4.673223207738397,-2.4440504223517956,-13.868699101838367,-8.075152736609114,-35.56057674253147,-21.521180516755777,-26.763717109953344,-7.416294895054709,-3.198383416334538,-3.8383509756461875,-4.631337685471404,-65.93275142501541,-68.60629392806308,1.3438879452009944
-5.698318366213662,-1.4664630567967407,7.110900949100096,-12.302241380668487,-4.034156510118381,-17.732368600178027,-8.009613701039175,-5.489457625791183,-7.131539678741361,-0.625502068185857,-2.4974075551316366,-0.6684031987242878,-50.81716478560057,-55.66660346946692,0.7868575732066896
2.0816360758155517,-0.9306341603088186,0.6925803661598895,-9.233543662192234,-7.262840837414453,-8.534393883035662,-1.796316980599777,-0.8862466272301028,-5.646451933999053,0.6693551923107721,-4.072673158648965,1.9987450172505694,-39.02420451955921,-40.719761255516985,-1.494730551617085
1.6892498962929992,-3.6028903546662883,0.3814609872635266,-6.372633423844876,-25.58099007484721,-5.370311443679199,1.9092072932918258,-4.132079024062907,-3.7287626788133355,1.345808321257258,-3.6230923235375134,4.131370500089271,-30.68225497531707,-38.078418850328646,-2.403913191290108
33.57975045548518,7.954304089025865,7.324035503982662,19.065423251009218,-18.323405487380974,39.0486370272519,24.00130914134455,36.60186149513041,2.9212114209777873,7.392973517988,1.6994277319481998,13.90106095471566,133.5598546554145,149.47516611443973,-1.0862656617659727
3.7322507726322396,3.0168057372012003,-3.210834889110792,14.63329423683588,-24.023229007410585,13.635928803758857,6.802083954932758,6.8291264896376935,4.975889272110101,5.908029895020728,0.3341727322863086,6.532427058442791,67.80940800008814,84.42060819292223,-1.817236768907149
1.7409283301730083,3.4465320405041133,4.241653717103033,16.32818339274895,-20.972093716278206,2.9923243463788385,3.6317527810898254,3.5832419595022147,3.640140825178939,4.497863747483999,2.011556389824043,0.17386749921781686,39.808216336709215,40.00088645669096,-1.3851578151705901
4.560991102413858,4.373871430463772,-0.6199876167864327,0.20689220585576873,-1.6333502064852068,5.327865271320564,4.634455060275289,5.706653961035801,7.224354960393464,3.6025928964654064,0.6836999838452318,-0.18760078348949438,38.27912929062662,55.703571746992274,-1.0194365085743562
4.96834030946578,4.7698776992060266,-1.3556722838987678,-15.814231415380341,1.3538109593850267,4.106905935080607,6.538425328866304,7.966378834952881,6.170719388772494,2.1516729762390385,0.3457906491819207,0.5309670434774594,22.642500398206124,32.36329834652567,-0.608707264310393
7.177151139707383,3.008123013137265,0.8182437707179968,-5.851679070367178,2.2889189937508103,-0.48137750438274063,8.788429639999018,6.5198787513432555,5.065828307337217,2.007956007737821,2.330741898445021,-2.0901592383018586,16.69967785423534,35.292878080994484,2.384734681724776
5.530297444110066,4.2699308018865345,6.390417982128338,-5.072407239080157,-1.0043826197362216,2.549437400826382,3.1168794541478473,5.127203864179841,8.287686526900973,3.086260386998574,1.4136614067852271,-1.8721524171695703,11.796844119516425,34.92135010819071,-0.591507323856888
2.2086591075593187,3.672798316755199,-0.8525384483354381,-2.073855998949281,3.309694106304484,3.8220466141606346,2.188811323441886,7.531609627518709,5.111280848218214,2.883670495988633,1.2595571075520784,1.0948320786839494,6.290980084201303,1.5873568022268358,0.8253568802288225
1.6472606516777955,2.788919822075653,-1.214853814833683,7.479631443842294,0.6757853453519758,13.922150834180869,1.7540949761626123,5.433957919147336,7.463983007835084,2.470235263682885,2.325429148756597,0.032792213176713325,0.7427453441985588,32.06354911897951,0.8649431777432603
0.3234818796861161,0.20275672670724276,-1.8669355560510859,3.54316435152906,3.853646096220986,24.430842522061734,4.49151657533613,2.7842333753930415,6.591684034773282,2.2254461928147506,1.7995826601108877,1.1881303352436312,2.918876004788995,-4.699505438420881,0.9398012739658457
