fecha,Activo total,Tenencia de valores gubernamentales,Deuda pública como porcentaje del activo total
2010-01-01,1607434234.0,246329962.0,15.324419300628133
2010-02-01,1594549855.0,238331371.0,14.94662397996957
2010-03-01,1591611505.0,238324581.0,14.973791044567749
2010-04-01,1607379792.0,229403349.0,14.271882111604898
2010-05-01,1694123065.0,229537260.0,13.549031043975546
2010-06-01,1610268916.0,221638816.0,13.76408709115267
2010-07-01,1622834823.0,221600674.0,13.655158914469508
2010-08-01,1646942995.0,212736758.0,12.91706869307884
2010-09-01,1592598295.0,212687678.0,13.354759870567362
2010-10-01,1535112789.0,208729839.0,13.597036028601545
2010-11-01,1550359963.0,216785560.0,13.982917849640058
2010-12-01,1568912694.0,363467393.0,23.166833590550322
2011-01-01,1586945341.0,380300229.0,23.964292857141324
2011-02-01,1617522335.0,388838138.0,24.039120176971156
2011-03-01,1601229805.0,402772788.0,25.15396520488825
2011-04-01,1592844835.0,427464871.0,26.836566977975608
2011-05-01,1626280004.0,452328375.0,27.81368361459605
2011-06-01,1653718523.0,537919383.0,32.52786828705069
2011-07-01,1710567101.0,566063729.0,33.0921674261757
2011-08-01,1825023182.0,603320195.0,33.05822090099894
2011-09-01,2065162847.0,640766916.0,31.027428027325925
2011-10-01,2057281606.0,660586600.0,32.10968289773354
2011-11-01,2180112619.0,685775074.0,31.45594718471743
2011-12-01,2167526184.0,713426475.0,32.91431864889527
2012-01-01,2064305058.0,730758583.0,35.399738045887204
2012-02-01,2055429510.0,747521277.0,36.36813003623753
2012-03-01,2094453970.0,773529039.0,36.93225299193374
2012-04-01,2224785181.0,785644130.0,35.31325795899393
2012-05-01,2487212507.0,808800262.0,32.51834170677882
2012-06-01,2246646955.0,903246640.0,40.204209121054355
2012-07-01,2326578502.0,924835658.0,39.7508898670293
2012-08-01,2354150584.0,941318714.0,39.98549287363684
2012-09-01,2354183357.0,925036539.0,39.293308919607654
2012-10-01,2420592789.0,936899739.0,38.70538420413347
2012-11-01,2404791835.0,953196597.0,39.637384954777175
2012-12-01,2288743618.0,974279361.0,42.56830486987294
2013-01-01,2265549543.0,988264052.0,43.62138338812748
2013-02-01,2314504119.0,1004035231.0,43.380144487874205
2013-03-01,2314960759.0,1012758580.0,43.748412410994135
2013-04-01,2316604686.0,1026997048.0,44.331993896346624
2013-05-01,2468933236.0,1039832406.0,42.116667669987976
2013-06-01,2365109405.0,1060458545.0,44.83761058825099
2013-07-01,2360074931.0,1068544603.0,45.27587615818796
2013-08-01,2510525225.0,1058981487.0,42.18167084937376
2013-09-01,2484618689.0,1055706179.0,42.48966586598834
2013-10-01,2492891422.0,1035772895.0,41.549057686957696
2013-11-01,2559973683.0,1033552977.0,40.37357820760066
2013-12-01,2558542604.0,1137071519.0,44.44215692255089
2014-01-01,2603431519.0,1104904455.0,42.440311832146946
2014-02-01,2616380915.0,1117771745.0,42.72205696776381
2014-03-01,2602088739.0,1112376293.0,42.7493604014248
2014-04-01,2691782619.0,1125182166.0,41.800632712979116
2014-05-01,2716732374.0,1120235735.0,41.234673894308294
2014-06-01,2623960401.0,1143452657.0,43.57735949689738
2014-07-01,2720060084.0,1142577988.0,42.005615784772495
2014-08-01,2684702861.0,1099439343.0,40.951993569615375
2014-09-01,2754012322.0,1092992468.0,39.687275879951564
