fecha,PIB trimestral,Crecimiento económico
2017-01-01,23687479.167481,
2017-04-01,23723312.0634282,
2017-07-01,23580325.1190347,
2017-10-01,23908623.7828117,
2018-01-01,24211456.9916988,2.212045530522877
2018-04-01,24126845.3350941,1.7009988764932427
2018-07-01,24233459.6965469,2.7698285507733456
2018-10-01,24186050.2031243,1.1603613107670663
2019-01-01,24185733.7755618,-0.10624398253199496
2019-04-01,24120356.1160305,-0.026896260051711973
2019-07-01,24127459.2239047,-0.43741369977521316
2019-10-01,23948954.9945038,-0.9802973475589338
2020-01-01,23667195.7574382,-2.1439829898712737
2020-04-01,19181729.3234687,-20.474933159380537
2020-07-01,22171157.3130722,-8.10819694140964
2020-10-01,23122093.5877129,-3.452599109149701
2021-01-01,23285789.908604,-1.6115379816991293
2021-04-01,23488224.7884404,22.451028227693403
2021-07-01,23312199.4801889,5.146516038853477
2021-10-01,23582346.1925934,1.9905317100051834
2022-01-01,23925769.3461768,2.7483690271392858
2022-04-01,24170929.9508492,2.9065847613344964
2022-07-01,24395999.9460906,4.649069972238085
2022-10-01,24627219.8124445,4.430744978967649
2023-01-01,24785432.7807095,3.5930440609637904
2023-04-01,25028991.7713413,3.5499743792933858
2023-07-01,25215690.7684956,3.3599394335805943
2023-10-01,25200417.3706745,2.3274960088688124
2024-01-01,25227481.4249071,1.7835018178163242
2024-04-01,25266808.8227568,0.9501663254682269
