"date","Tasa objetivo","Inflación","Inflación esperada","Tasa real ex-ante","Tasa real ex-post"
2022-03-10,6,7.51677419354839,4.87806451612903,1.12193548387097,-1.51677419354839
2022-03-11,6,7.5241935483871,4.88451612903226,1.11548387096774,-1.5241935483871
2022-03-12,6,7.53161290322581,4.89096774193548,1.10903225806452,-1.53161290322581
2022-03-13,6,7.53903225806452,4.89741935483871,1.10258064516129,-1.53903225806452
2022-03-14,6,7.54645161290323,4.90387096774194,1.09612903225806,-1.54645161290323
2022-03-15,6,7.55387096774194,4.91032258064516,1.08967741935484,-1.55387096774194
2022-03-16,6,7.56129032258065,4.91677419354839,1.08322580645161,-1.56129032258065
2022-03-17,6,7.56870967741935,4.92322580645161,1.07677419354839,-1.56870967741935
2022-03-18,6,7.57612903225806,4.92967741935484,1.07032258064516,-1.57612903225806
2022-03-19,6,7.58354838709677,4.93612903225806,1.06387096774194,-1.58354838709677
2022-03-20,6,7.59096774193548,4.94258064516129,1.05741935483871,-1.59096774193548
2022-03-21,6,7.59838709677419,4.94903225806452,1.05096774193548,-1.59838709677419
2022-03-22,6,7.6058064516129,4.95548387096774,1.04451612903226,-1.6058064516129
2022-03-23,6,7.61322580645161,4.96193548387097,1.03806451612903,-1.61322580645161
2022-03-24,6,7.62064516129032,4.96838709677419,1.03161290322581,-1.62064516129032
2022-03-25,6.5,7.62806451612903,4.97483870967742,1.52516129032258,-1.12806451612903
2022-03-26,6.5,7.63548387096774,4.98129032258064,1.51870967741936,-1.13548387096774
2022-03-27,6.5,7.64290322580645,4.98774193548387,1.51225806451613,-1.14290322580645
2022-03-28,6.5,7.65032258064516,4.9941935483871,1.5058064516129,-1.15032258064516
2022-03-29,6.5,7.65774193548387,5.00064516129032,1.49935483870968,-1.15774193548387
2022-03-30,6.5,7.66516129032258,5.00709677419355,1.49290322580645,-1.16516129032258
2022-03-31,6.5,7.67258064516129,5.01354838709677,1.48645161290323,-1.17258064516129
2022-04-01,6.5,7.68,5.02,1.48,-1.18
2022-04-02,6.5,7.679,5.01666666666667,1.48333333333333,-1.179
2022-04-03,6.5,7.678,5.01333333333333,1.48666666666667,-1.178
2022-04-04,6.5,7.677,5.01,1.49,-1.177
2022-04-05,6.5,7.676,5.00666666666667,1.49333333333333,-1.176
2022-04-06,6.5,7.675,5.00333333333333,1.49666666666667,-1.175
2022-04-07,6.5,7.674,5,1.5,-1.174
2022-04-08,6.5,7.673,4.99666666666667,1.50333333333333,-1.173
2022-04-09,6.5,7.672,4.99333333333333,1.50666666666667,-1.172
2022-04-10,6.5,7.671,4.99,1.51,-1.171
2022-04-11,6.5,7.67,4.98666666666667,1.51333333333333,-1.17
2022-04-12,6.5,7.669,4.98333333333333,1.51666666666667,-1.169
2022-04-13,6.5,7.668,4.98,1.52,-1.168
2022-04-14,6.5,7.667,4.97666666666667,1.52333333333333,-1.167
2022-04-15,6.5,7.666,4.97333333333333,1.52666666666667,-1.166
2022-04-16,6.5,7.665,4.97,1.53,-1.165
2022-04-17,6.5,7.664,4.96666666666667,1.53333333333333,-1.164
2022-04-18,6.5,7.663,4.96333333333333,1.53666666666667,-1.163
2022-04-19,6.5,7.662,4.96,1.54,-1.162
2022-04-20,6.5,7.661,4.95666666666667,1.54333333333333,-1.161
2022-04-21,6.5,7.66,4.95333333333333,1.54666666666667,-1.16
2022-04-22,6.5,7.659,4.95,1.55,-1.159
2022-04-23,6.5,7.658,4.94666666666667,1.55333333333333,-1.158
2022-04-24,6.5,7.657,4.94333333333333,1.55666666666667,-1.157
2022-04-25,6.5,7.656,4.94,1.56,-1.156
2022-04-26,6.5,7.655,4.93666666666667,1.56333333333333,-1.155
2022-04-27,6.5,7.654,4.93333333333333,1.56666666666667,-1.154
2022-04-28,6.5,7.653,4.93,1.57,-1.153
2022-04-29,6.5,7.652,4.92666666666667,1.57333333333333,-1.152
2022-04-30,6.5,7.651,4.92333333333333,1.57666666666667,-1.151
2022-05-01,6.5,7.65,4.92,1.58,-1.15
2022-05-02,6.5,7.66096774193548,4.9241935483871,1.5758064516129,-1.16096774193548
2022-05-03,6.5,7.67193548387097,4.92838709677419,1.57161290322581,-1.17193548387097
2022-05-04,6.5,7.68290322580645,4.93258064516129,1.56741935483871,-1.18290322580645
2022-05-05,6.5,7.69387096774194,4.93677419354839,1.56322580645161,-1.19387096774194
2022-05-06,6.5,7.70483870967742,4.94096774193548,1.55903225806452,-1.20483870967742
2022-05-07,6.5,7.7158064516129,4.94516129032258,1.55483870967742,-1.2158064516129
2022-05-08,6.5,7.72677419354839,4.94935483870968,1.55064516129032,-1.22677419354839
2022-05-09,6.5,7.73774193548387,4.95354838709677,1.54645161290323,-1.23774193548387
2022-05-10,6.5,7.74870967741936,4.95774193548387,1.54225806451613,-1.24870967741936
2022-05-11,6.5,7.75967741935484,4.96193548387097,1.53806451612903,-1.25967741935484
2022-05-12,6.5,7.77064516129032,4.96612903225806,1.53387096774194,-1.27064516129032
2022-05-13,7,7.78161290322581,4.97032258064516,2.02967741935484,-0.781612903225807
2022-05-14,7,7.79258064516129,4.97451612903226,2.02548387096774,-0.792580645161291
2022-05-15,7,7.80354838709677,4.97870967741935,2.02129032258065,-0.803548387096774
2022-05-16,7,7.81451612903226,4.98290322580645,2.01709677419355,-0.814516129032258
2022-05-17,7,7.82548387096774,4.98709677419355,2.01290322580645,-0.825483870967743
2022-05-18,7,7.83645161290323,4.99129032258065,2.00870967741935,-0.836451612903226
2022-05-19,7,7.84741935483871,4.99548387096774,2.00451612903226,-0.84741935483871
2022-05-20,7,7.85838709677419,4.99967741935484,2.00032258064516,-0.858387096774194
2022-05-21,7,7.86935483870968,5.00387096774194,1.99612903225806,-0.869354838709677
2022-05-22,7,7.88032258064516,5.00806451612903,1.99193548387097,-0.880322580645162
2022-05-23,7,7.89129032258065,5.01225806451613,1.98774193548387,-0.891290322580645
2022-05-24,7,7.90225806451613,5.01645161290323,1.98354838709677,-0.902258064516129
2022-05-25,7,7.91322580645161,5.02064516129032,1.97935483870968,-0.913225806451613
2022-05-26,7,7.9241935483871,5.02483870967742,1.97516129032258,-0.924193548387097
2022-05-27,7,7.93516129032258,5.02903225806452,1.97096774193548,-0.935161290322581
2022-05-28,7,7.94612903225806,5.03322580645161,1.96677419354839,-0.946129032258065
2022-05-29,7,7.95709677419355,5.03741935483871,1.96258064516129,-0.957096774193548
2022-05-30,7,7.96806451612903,5.04161290322581,1.95838709677419,-0.968064516129033
2022-05-31,7,7.97903225806452,5.0458064516129,1.9541935483871,-0.979032258064517
2022-06-01,7,7.99,5.05,1.95,-0.99
2022-06-02,7,7.99533333333333,5.04966666666667,1.95033333333333,-0.995333333333334
2022-06-03,7,8.00066666666667,5.04933333333333,1.95066666666667,-1.00066666666667
2022-06-04,7,8.006,5.049,1.951,-1.006
2022-06-05,7,8.01133333333333,5.04866666666667,1.95133333333333,-1.01133333333333
2022-06-06,7,8.01666666666667,5.04833333333333,1.95166666666667,-1.01666666666667
2022-06-07,7,8.022,5.048,1.952,-1.022
2022-06-08,7,8.02733333333333,5.04766666666667,1.95233333333333,-1.02733333333333
